date 风险 省 市 区 病例街道数量
2022-10-17 中 广东省 惠州市 仲恺高新区 1
2022-10-17 中 广东省 东莞市 虎门镇 3
2022-10-17 中 广东省 中山市 南头镇 1
2022-10-17 中 广东省 中山市 翠亨新区（南朗街道） 1
2022-10-17 中 海南省 海口市 琼山区 1
2022-10-17 中 重庆市 重庆市 沙坪坝区 2
2022-10-17 中 重庆市 重庆市 南岸区 4
2022-10-17 中 重庆市 重庆市 渝北区 24
2022-10-17 中 重庆市 重庆市 江津区 7
2022-10-17 中 重庆市 重庆市 永川区 5
2022-10-17 中 重庆市 重庆市 重庆高新区 3
2022-10-17 中 四川省 成都市 锦江区 1
2022-10-17 中 四川省 成都市 龙泉驿区 1
2022-10-17 中 四川省 成都市 新都区 1
2022-10-17 中 四川省 成都市 双流区 2
2022-10-17 中 四川省 泸州市 叙永县 1
2022-10-17 中 四川省 广元市 利州区 15
2022-10-17 中 四川省 广元市 剑阁县 10
2022-10-17 中 四川省 南充市 营山县 3
2022-10-17 中 四川省 南充市 仪陇县 3
2022-10-17 中 四川省 宜宾市 长宁县 2
2022-10-17 中 四川省 宜宾市 三江新区 1
2022-10-17 中 贵州省 贵阳市 白云区 1
2022-10-17 中 贵州省 毕节市 七星关区 2
2022-10-17 中 贵州省 黔西南布依族苗族自治州 义龙新区 8
2022-10-17 中 云南省 玉溪市 江川区 2
2022-10-17 中 云南省 玉溪市 澄江市 5
2022-10-17 中 云南省 红河哈尼族彝族自治州 个旧市 3
2022-10-17 中 云南省 红河哈尼族彝族自治州 弥勒市 1
2022-10-17 中 云南省 红河哈尼族彝族自治州 河口瑶族自治县 6
2022-10-17 中 云南省 西双版纳傣族自治州 景洪市 3
2022-10-17 中 云南省 西双版纳傣族自治州 勐海县 20
2022-10-17 中 云南省 西双版纳傣族自治州 勐腊县 3
2022-10-17 中 云南省 德宏傣族景颇族自治州 瑞丽市 33
2022-10-17 中 云南省 德宏傣族景颇族自治州 盈江县 1
2022-10-17 中 云南省 德宏傣族景颇族自治州 陇川县 3
2022-10-17 中 西藏自治区 拉萨市 城关区 6
2022-10-17 中 陕西省 西安市 新城区 5
2022-10-17 中 陕西省 西安市 碑林区 2
2022-10-17 中 陕西省 西安市 莲湖区 4
2022-10-17 中 陕西省 西安市 灞桥区 1
2022-10-17 中 陕西省 西安市 雁塔区 5
2022-10-17 中 陕西省 西安市 长安区 3
2022-10-17 中 陕西省 西安市 蓝田县 1
2022-10-17 中 陕西省 西安市 曲江新区 1
2022-10-17 中 陕西省 西安市 西咸新区 6
2022-10-17 中 陕西省 西安市 国际港务区 1
2022-10-17 中 陕西省 西安市 高新区 9
2022-10-17 中 陕西省 西安市 浐灞生态区 4
2022-10-17 中 陕西省 宝鸡市 金台区 1
2022-10-17 中 陕西省 宝鸡市 岐山县 1
2022-10-17 中 陕西省 宝鸡市 扶风县 2
2022-10-17 中 陕西省 宝鸡市 眉县 6
2022-10-17 中 陕西省 咸阳市 秦都区 6
2022-10-17 中 陕西省 咸阳市 礼泉县 3
2022-10-17 中 陕西省 咸阳市 兴平市 2
2022-10-17 中 陕西省 渭南市 临渭区 15
2022-10-17 中 陕西省 渭南市 蒲城县 7
2022-10-17 中 陕西省 渭南市 高新区 3
2022-10-17 中 陕西省 汉中市 城固县 13
2022-10-17 中 陕西省 汉中市 略阳县 7
2022-10-17 中 陕西省 榆林市 榆阳区 2
2022-10-17 中 陕西省 商洛市 商州区 3
2022-10-17 中 甘肃省 兰州市 城关区 1
2022-10-17 中 甘肃省 兰州市 七里河区 5
2022-10-17 中 宁夏回族自治区 银川市 兴庆区 12
2022-10-17 中 宁夏回族自治区 银川市 西夏区 20
2022-10-17 中 宁夏回族自治区 银川市 金凤区 6
2022-10-17 中 宁夏回族自治区 银川市 永宁县 14
2022-10-17 中 宁夏回族自治区 吴忠市 利通区 1
2022-10-17 中 宁夏回族自治区 吴忠市 同心县 5
2022-10-17 中 宁夏回族自治区 吴忠市 青铜峡市 8
2022-10-17 中 宁夏回族自治区 固原市 原州区 2
2022-10-17 中 宁夏回族自治区 中卫市 中宁县 44
2022-10-17 中 宁夏回族自治区 宁东能源化工基地 宁东能源化工基地 2
2022-10-17 中 新疆维吾尔自治区 乌鲁木齐市 天山区 69
2022-10-17 中 新疆维吾尔自治区 乌鲁木齐市 沙依巴克区 3
2022-10-17 中 新疆维吾尔自治区 乌鲁木齐市 新市区 24
2022-10-17 中 新疆维吾尔自治区 乌鲁木齐市 水磨沟区 11
2022-10-17 中 新疆维吾尔自治区 吐鲁番市 高昌区 3
2022-10-17 中 新疆维吾尔自治区 巴音郭楞蒙古自治州 库尔勒市 3
2022-10-17 中 新疆维吾尔自治区 伊犁哈萨克自治州 伊宁市 8
2022-10-17 中 新疆维吾尔自治区 伊犁哈萨克自治州 伊宁县 1
2022-10-17 中 新疆维吾尔自治区 塔城地区 乌苏市 48
2022-10-17 低 北京市 石景山区 八宝山街道 1
2022-10-17 低 北京市 海淀区 北下关街道 1
2022-10-17 低 北京市 房山区 长阳镇 1
2022-10-17 低 北京市 通州区 马驹桥镇 1
2022-10-17 低 北京市 大兴区 旧宫（地区）镇 1
2022-10-17 低 天津市 天津市 河西区 3
2022-10-17 低 天津市 天津市 东丽区 3
2022-10-17 低 天津市 天津市 津南区 4
2022-10-17 低 天津市 天津市 滨海新区 1
2022-10-17 低 天津市 天津市 静海区 1
2022-10-17 低 河北省 秦皇岛市 海港区 1
2022-10-17 低 河北省 秦皇岛市 昌黎县 1
2022-10-17 低 河北省 邯郸市 磁县 1
2022-10-17 低 河北省 保定市 安国市 1
2022-10-17 低 河北省 保定市 白沟新城 1
2022-10-17 低 河北省 张家口市 桥东区 1
2022-10-17 低 河北省 张家口市 桥西区 1
2022-10-17 低 河北省 张家口市 宣化区 1
2022-10-17 低 河北省 张家口市 尚义县 1
2022-10-17 低 河北省 张家口市 怀安县 1
2022-10-17 低 河北省 张家口市 赤城县 1
2022-10-17 低 河北省 张家口市 经开区 1
2022-10-17 低 河北省 衡水市 高新区 1
2022-10-17 低 河北省 定州市 定州市 1
2022-10-17 低 山西省 太原市 晋源区 1
2022-10-17 低 山西省 大同市 平城区 1
2022-10-17 低 山西省 大同市 云州区 1
2022-10-17 低 山西省 朔州市 朔城区 1
2022-10-17 低 山西省 晋中市 榆次区 1
2022-10-17 低 山西省 运城市 盐湖区 1
2022-10-17 低 山西省 运城市 万荣县 1
2022-10-17 低 山西省 运城市 夏县 1
2022-10-17 低 山西省 运城市 芮城县 1
2022-10-17 低 山西省 临汾市 永和县 1
2022-10-17 低 山西省 吕梁市 孝义市 1
2022-10-17 低 内蒙古自治区 呼和浩特市 新城区 1
2022-10-17 低 内蒙古自治区 呼和浩特市 回民区 1
2022-10-17 低 内蒙古自治区 呼和浩特市 玉泉区 1
2022-10-17 低 内蒙古自治区 呼和浩特市 赛罕区 1
2022-10-17 低 内蒙古自治区 呼和浩特市 土默特左旗 1
2022-10-17 低 内蒙古自治区 呼和浩特市 和林格尔县 1
2022-10-17 低 内蒙古自治区 呼和浩特市 武川县 1
2022-10-17 低 内蒙古自治区 包头市 东河区 1
2022-10-17 低 内蒙古自治区 包头市 昆都仑区 1
2022-10-17 低 内蒙古自治区 包头市 青山区 1
2022-10-17 低 内蒙古自治区 包头市 九原区 1
2022-10-17 低 内蒙古自治区 包头市 土默特右旗 1
2022-10-17 低 内蒙古自治区 包头市 稀土高新区 1
2022-10-17 低 内蒙古自治区 乌海市 海南区 1
